Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Paper;Chemie;Art d. Alterung
NCR18650PD;2800;25;0;0.984;288;0.0000556;Calendar Aging of NCA Lithium-I;NCA;Calendar
NCR18650PD;2800;50;0;0.967;285;0.0001158;Calendar Aging of NCA Lithium-I;NCA;Calendar
NCR18650PD;2800;50;0;0.967;300;0.00011;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar
NCR18650PD;2800;40;0;0.976;300;0.00008;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar
NCR18650PD;2800;25;0;0.984;300;0.0000533;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar
UR18650E;2050;50;0;0.974;300;0.0000867;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar
UR18650E;2050;40;0;0.981;300;0.0000633;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar
UR18650E;2050;25;0;0.989;300;0.0000367;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar
APR18650M1A;1100;40;0;0.977;270;0.0000852;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar
APR18650M1A;1100;25;0;0.999;270;0.0000037;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar
UR18650E;2050;50;0;0.938;512.3;0.000121;A holistic aging model for Li(NiMnCo)O2Â based 18650 lithium-ion batteries;NMC;Calendar
INR18650-26F;2600;60;2;0.99447;37;0.0001495;Comparative Study on the Calendar Ageing;NMC;Calendar
INR18650-26F;2600;60;2;0.992598;57;0.0001299;Comparative Study on the Calendar Ageing;NMC;Calendar
INR18650-26F;2600;60;2;0.987715;80;0.0001536;Comparative Study on the Calendar Ageing;NMC;Calendar
INR18650-26F;2600;60;2;0.987919;120;0.0001007;Comparative Study on the Calendar Ageing;NMC;Calendar
INR18650-25R;2500;60;2;0.983063;28;0.0006049;Comparative Study on the Calendar Ageing;NCA;Calendar
INR18650-25R;2500;60;2;0.976224;56;0.0004246;Comparative Study on the Calendar Ageing;NCA;Calendar
