RGB1; RGB2; RGB3;Farbname;RGB;HEX;Tuple
0;101;189;TUMBlue;0101189;#0065BD;(0, 101, 189)
0;0;0;Black;000;#000000;(0, 0, 0)
255;255;255;White;255255255;#FFFFFF;(255, 255, 255)
0;82;147;DarkBlue;082147;#005293;(0, 82, 147)
100;160;200;LightBlue;100160200;#64A0C8;(100, 160, 200)
152;198;234;LighterBlue;152198234;#98C6EA;(152, 198, 234)
153;153;153;Gray;153153153;#999999;(153, 153, 153)
227;114;34;Orange;22711434;#E37222;(227, 114, 34)
162;173;0;Green;1621730;#A2AD00;(162, 173, 0)
218;215;203;LightGray;218215203;#DAD7CB;(218, 215, 203)
48;112;179;tum-blue-brand;48112179;#3070B3;(48, 112, 179)
7;33;64;tum-blue-dark;73364;#072140;(7, 33, 64)
10;45;87;tum-blue-dark-1;104587;#0A2D57;(10, 45, 87)
14;57;110;tum-blue-dark-2;1457110;#0E396E;(14, 57, 110)
17;69;132;tum-blue-dark-3;1769132;#114584;(17, 69, 132)
20;81;154;tum-blue-dark-4;2081154;#14519A;(20, 81, 154)
22;93;177;tum-blue-dark-5;2293177;#165DB1;(22, 93, 177)
94;148;212;tum-blue-light;94148212;#5E94D4;(94, 148, 212)
154;188;228;tum-blue-light-dark;154188228;#9ABCE4;(154, 188, 228)
194;215;239;tum-blue-light-2;194215239;#C2D7EF;(194, 215, 239)
215;228;244;tum-blue-light-3;215228244;#D7E4F4;(215, 228, 244)
227;238;250;tum-blue-light-4;227238250;#E3EEFA;(227, 238, 250)
240;245;250;tum-blue-light-5;240245250;#F0F5FA;(240, 245, 250)
254;215;2;tum-yellow;2542152;#FED702;(254, 215, 2)
203;171;1;tum-yellow-dark;2031711;#CBAB01;(203, 171, 1)
254;222;52;tum-yellow-1;25422252;#FEDE34;(254, 222, 52)
254;230;103;tum-yellow-2;254230103;#FEE667;(254, 230, 103)
254;238;154;tum-yellow-3;254238154;#FEEE9A;(254, 238, 154)
254;246;205;tum-yellow-4;254246205;#FEF6CD;(254, 246, 205)
247;129;30;tum-orange;24712930;#F7811E;(247, 129, 30)
217;146;8;tum-orange-dark;2171468;#D99208;(217, 146, 8)
249;191;78;tum-orange-1;24919178;#F9BF4E;(249, 191, 78)
250;208;128;tum-orange-2;250208128;#FAD080;(250, 208, 128)
252;226;176;tum-orange-3;252226176;#FCE2B0;(252, 226, 176)
254;244;225;tum-orange-4;254244225;#FEF4E1;(254, 244, 225)
181;92;165;tum-pink;18192165;#B55CA5;(181, 92, 165)
155;70;141;tum-pink-dark;15570141;#9B468D;(155, 70, 141)
198;128;187;tum-pink-1;198128187;#C680BB;(198, 128, 187)
214;164;206;tum-pink-2;214164206;#D6A4CE;(214, 164, 206)
230;199;225;tum-pink-3;230199225;#E6C7E1;(230, 199, 225)
246;234;244;tum-pink-4;246234244;#F6EAF4;(246, 234, 244)
143;129;234;tum-blue-bright;143129234;#8F81EA;(143, 129, 234)
105;85;226;tum-blue-bright-dark;10585226;#6955E2;(105, 85, 226)
182;172;241;tum-blue-bright-1;182172241;#B6ACF1;(182, 172, 241)
201;194;245;tum-blue-bright-2;201194245;#C9C2F5;(201, 194, 245)
220;216;249;tum-blue-bright-3;220216249;#DCD8F9;(220, 216, 249)
239;237;252;tum-blue-bright-4;239237252;#EFEDFC;(239, 237, 252)
234;114;55;tum-red;23411455;#EA7237;(234, 114, 55)
217;81;23;tum-red-dark;2178123;#D95117;(217, 81, 23)
239;144;103;tum-red-1;239144103;#EF9067;(239, 144, 103)
243;178;149;tum-red-2;243178149;#F3B295;(243, 178, 149)
246;194;172;tum-red-3;246194172;#F6C2AC;(246, 194, 172)
251;234;218;tum-red-4;251234218;#FBEADA;(251, 234, 218)
159;186;54;tum-green;15918654;#9FBA36;(159, 186, 54)
125;146;42;tum-green-dark;12514642;#7D922A;(125, 146, 42)
182;206;85;tum-green-1;18220685;#B6CE55;(182, 206, 85)
199;217;125;tum-green-2;199217125;#C7D97D;(199, 217, 125)
216;229;164;tum-green-3;216229164;#D8E5A4;(216, 229, 164)
233;241;203;tum-green-4;233241203;#E9F1CB;(233, 241, 203)
32;37;42;tum-grey-1;323742;#20252A;(32, 37, 42)
51;58;65;tum-grey-2;515865;#333A41;(51, 58, 65)
71;80;88;tum-grey-3;718088;#475058;(71, 80, 88)
106;117;126;tum-grey-4;106117126;#6A757E;(106, 117, 126)
221;226;230;tum-grey-7;221226230;#DDE2E6;(221, 226, 230)
235;236;239;tum-grey-8;235236239;#EBECEF;(235, 236, 239)
251;249;250;tum-grey-9;251249250;#FBF9FA;(251, 249, 250)
255;255;255;tum-white;255255255;#FFFFFF;(255, 255, 255)
235;236;239;tum-grey-8;235236239;#EBECEF;(235, 236, 239)
251;249;250;tum-grey-9;251249250;#FBF9FA;(251, 249, 250)
255;255;255;tum-white;255255255;#FFFFFF;(255, 255, 255)
