Zelle-Beschriftung;Nummerierung;Zellchemie;Spannung;Bezeichnung;Zellkürzel;Datum
B-00;0;NCA;3.516923;NCR18650B;B;24.07.2024
B-01;1;NCA;3.516576;NCR18650B;B;24.07.2024
B-02;2;NCA;3.516303;NCR18650B;B;24.07.2024
B-03;3;NCA;3.517623;NCR18650B;B;24.07.2024
B-04;4;NCA;3.516086;NCR18650B;B;24.07.2024
B-05;5;NCA;3.516162;NCR18650B;B;24.07.2024
B-06;6;NCA;3.516044;NCR18650B;B;24.07.2024
B-07;7;NCA;3.51661;NCR18650B;B;24.07.2024
B-08;8;NCA;3.516884;NCR18650B;B;24.07.2024
B-09;9;NCA;3.516338;NCR18650B;B;24.07.2024
B-10;10;NCA;3.515991;NCR18650B;B;24.07.2024
B-11;11;NCA;3.517233;NCR18650B;B;24.07.2024
PF-00;0;NCA;3.51973;NCR18650PF;PF;24.07.2024
PF-01;1;NCA;3.52093;NCR18650PF;PF;24.07.2024
PF-02;2;NCA;3.519089;NCR18650PF;PF;24.07.2024
PF-03;3;NCA;3.51979;NCR18650PF;PF;24.07.2024
PF-04;4;NCA;3.518717;NCR18650PF;PF;24.07.2024
PF-05;5;NCA;3.521202;NCR18650PF;PF;24.07.2024
PF-06;6;NCA;3.519305;NCR18650PF;PF;24.07.2024
PF-07;7;NCA;3.52043;NCR18650PF;PF;24.07.2024
PF-08;8;NCA;3.519778;NCR18650PF;PF;24.07.2024
PF-09;9;NCA;3.519205;NCR18650PF;PF;24.07.2024
PF-10;10;NCA;3.52016;NCR18650PF;PF;24.07.2024
PF-11;11;NCA;3.51959;NCR18650PF;PF;24.07.2024
BD-00;0;NCA;3.517418;NCR18650BD;BD;24.07.2024
BD-01;1;NCA;3.516378;NCR18650BD;BD;24.07.2024
BD-02;2;NCA;3.516663;NCR18650BD;BD;24.07.2024
BD-03;3;NCA;3.515987;NCR18650BD;BD;24.07.2024
BD-04;4;NCA;3.517603;NCR18650BD;BD;24.07.2024
BD-05;5;NCA;3.516885;NCR18650BD;BD;24.07.2024
BD-06;6;NCA;3.516902;NCR18650BD;BD;24.07.2024
BD-07;7;NCA;3.518063;NCR18650BD;BD;24.07.2024
BD-08;8;NCA;3.517967;NCR18650BD;BD;24.07.2024
BD-09;9;NCA;3.517227;NCR18650BD;BD;24.07.2024
BD-10;10;NCA;3.51786;NCR18650BD;BD;24.07.2024
BD-11;11;NCA;3.51837;NCR18650BD;BD;24.07.2024
BD-12;12;NCA;3.517317;NCR18650BD;BD;24.07.2024
