﻿Beschriftung;Nummerierung;Zellchemie;Spannung;Bezeichnung;Zellkürzel;Datum
BD-00;0;NCA;3.515399;NCR18650BD;BD;29.07.2024
BD-01;1;NCA;3.514359;NCR18650BD;BD;29.07.2024
BD-02;2;NCA;3.514613;NCR18650BD;BD;29.07.2024
BD-03;3;NCA;3.51397;NCR18650BD;BD;29.07.2024
BD-04;4;NCA;3.515665;NCR18650BD;BD;29.07.2024
BD-05;5;NCA;3.51493;NCR18650BD;BD;29.07.2024
BD-06;6;NCA;3.514221;NCR18650BD;BD;29.07.2024
BD-07;7;NCA;3.516174;NCR18650BD;BD;29.07.2024
BD-08;8;NCA;3.516104;NCR18650BD;BD;29.07.2024
BD-09;9;NCA;3.515305;NCR18650BD;BD;29.07.2024
BD-10;10;NCA;3.515982;NCR18650BD;BD;29.07.2024
BD-11;11;NCA;3.516554;NCR18650BD;BD;29.07.2024
BD-12;12;NCA;3.515548;NCR18650BD;BD;29.07.2024
PF-00;0;NCA;3.516198;NCR18650PF;PF;29.07.2024
PF-01;1;NCA;3.51755;NCR18650PF;PF;29.07.2024
PF-02;2;NCA;3.515677;NCR18650PF;PF;29.07.2024
PF-03;3;NCA;3.516313;NCR18650PF;PF;29.07.2024
PF-04;4;NCA;3.51549;NCR18650PF;PF;29.07.2024
PF-05;5;NCA;3.517926;NCR18650PF;PF;29.07.2024
PF-06;6;NCA;3.516386;NCR18650PF;PF;29.07.2024
PF-07;7;NCA;3.517238;NCR18650PF;PF;29.07.2024
PF-08;8;NCA;3.516702;NCR18650PF;PF;29.07.2024
PF-09;9;NCA;3.516103;NCR18650PF;PF;29.07.2024
PF-10;10;NCA;3.517217;NCR18650PF;PF;29.07.2024
PF-11;11;NCA;3.516474;NCR18650PF;PF;29.07.2024
B-00;0;NCA;3.513917;NCR18650B;B;29.07.2024
B-01;1;NCA;3.513351;NCR18650B;B;29.07.2024
B-02;2;NCA;3.513193;NCR18650B;B;29.07.2024
B-03;3;NCA;3.514659;NCR18650B;B;29.07.2024
B-04;4;NCA;3.51306;NCR18650B;B;29.07.2024
B-05;5;NCA;3.513474;NCR18650B;B;29.07.2024
B-06;6;NCA;3.513098;NCR18650B;B;29.07.2024
B-07;7;NCA;3.513663;NCR18650B;B;29.07.2024
B-08;8;NCA;3.513928;NCR18650B;B;29.07.2024
B-09;9;NCA;3.513761;NCR18650B;B;29.07.2024
B-10;10;NCA;3.513146;NCR18650B;B;29.07.2024
B-11;11;NCA;3.514476;NCR18650B;B;29.07.2024
