Zelle;Spannung;Bezeichnung;Abkürzung;Datum
B-00;3.516923;NCR18650B;B;24.07.2024
B-01;3.516576;NCR18650B;B;24.07.2024
B-02;3.516303;NCR18650B;B;24.07.2024
B-03;3.517623;NCR18650B;B;24.07.2024
B-04;3.516086;NCR18650B;B;24.07.2024
B-05;3.516162;NCR18650B;B;24.07.2024
B-06;3.516044;NCR18650B;B;24.07.2024
B-07;3.516610;NCR18650B;B;24.07.2024
B-08;3.516884;NCR18650B;B;24.07.2024
B-09;3.516338;NCR18650B;B;24.07.2024
B-10;3.515991;NCR18650B;B;24.07.2024
B-11;3.517233;NCR18650B;B;24.07.2024
PF-00;3.519730;NCR18650PF;PF;24.07.2024
PF-01;3.520930;NCR18650PF;PF;24.07.2024
PF-02;3.519089;NCR18650PF;PF;24.07.2024
PF-03;3.519790;NCR18650PF;PF;24.07.2024
PF-04;3.518717;NCR18650PF;PF;24.07.2024
PF-05;3.521202;NCR18650PF;PF;24.07.2024
PF-06;3.519305;NCR18650PF;PF;24.07.2024
PF-07;3.520430;NCR18650PF;PF;24.07.2024
PF-08;3.519778;NCR18650PF;PF;24.07.2024
PF-09;3.519205;NCR18650PF;PF;24.07.2024
PF-10;3.520160;NCR18650PF;PF;24.07.2024
PF-11;3.519590;NCR18650PF;PF;24.07.2024
BD-00;3.517418;NCR18650BD;BD;24.07.2024
BD-01;3.516378;NCR18650BD;BD;24.07.2024
BD-02;3.516663;NCR18650BD;BD;24.07.2024
BD-03;3.515987;NCR18650BD;BD;24.07.2024
BD-04;3.517603;NCR18650BD;BD;24.07.2024
BD-05;3.516885;NCR18650BD;BD;24.07.2024
BD-06;3.516902;NCR18650BD;BD;24.07.2024
BD-07;3.518063;NCR18650BD;BD;24.07.2024
BD-08;3.517967;NCR18650BD;BD;24.07.2024
BD-09;3.517227;NCR18650BD;BD;24.07.2024
BD-10;3.517860;NCR18650BD;BD;24.07.2024
BD-11;3.518370;NCR18650BD;BD;24.07.2024
BD-12;3.517317;NCR18650BD;BD;24.07.2024
B-00;3.514959;NCR18650B;B;29.07.2024
B-01;3.514447;NCR18650B;B;29.07.2024
B-02;3.514131;NCR18650B;B;29.07.2024
B-03;3.515626;NCR18650B;B;29.07.2024
B-04;3.514128;NCR18650B;B;29.07.2024
B-05;3.514317;NCR18650B;B;29.07.2024
B-06;3.513963;NCR18650B;B;29.07.2024
B-07;3.514565;NCR18650B;B;29.07.2024
B-08;3.514816;NCR18650B;B;29.07.2024
B-09;3.514601;NCR18650B;B;29.07.2024
B-10;3.5139;NCR18650B;B;29.07.2024
B-11;3.51518;NCR18650B;B;29.07.2024
PF-00;3.51749;NCR18650PF;PF;29.07.2024
PF-01;3.518633;NCR18650PF;PF;29.07.2024
PF-02;3.516893;NCR18650PF;PF;29.07.2024
PF-03;3.517545;NCR18650PF;PF;29.07.2024
PF-04;3.516408;NCR18650PF;PF;29.07.2024
PF-05;3.518929;NCR18650PF;PF;29.07.2024
PF-06;3.517076;NCR18650PF;PF;29.07.2024
PF-07;3.518188;NCR18650PF;PF;29.07.2024
PF-08;3.517481;NCR18650PF;PF;29.07.2024
PF-09;3.516973;NCR18650PF;PF;29.07.2024
PF-10;3.517966;NCR18650PF;PF;29.07.2024
PF-11;3.517365;NCR18650PF;PF;29.07.2024
BD-00;3.515949;NCR18650BD;BD;29.07.2024
BD-01;3.514907;NCR18650BD;BD;29.07.2024
BD-02;3.515186;NCR18650BD;BD;29.07.2024
BD-03;3.514463;NCR18650BD;BD;29.07.2024
BD-04;3.516122;NCR18650BD;BD;29.07.2024
BD-05;3.515388;NCR18650BD;BD;29.07.2024
BD-06;3.514619;NCR18650BD;BD;29.07.2024
BD-07;3.516673;NCR18650BD;BD;29.07.2024
BD-08;3.516531;NCR18650BD;BD;29.07.2024
BD-09;3.515773;NCR18650BD;BD;29.07.2024
BD-10;3.516458;NCR18650BD;BD;29.07.2024
BD-11;3.517034;NCR18650BD;BD;29.07.2024
BD-12;3.515966;NCR18650BD;BD;29.07.2024
B-00;3.514688;NCR18650B;B;31.07.2024
B-01;3.514132;NCR18650B;B;31.07.2024
B-02;3.513776;NCR18650B;B;31.07.2024
B-03;3.515335;NCR18650B;B;31.07.2024
